#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:08:15 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:08:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VIII/81B/sumss212&-order=I&-out=RAJ2000&-out=e_RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=e_DEJ2000&-out=Sp&-out=e_Sp&-out=St&-out=e_St&-out=MajAxis&-out=MinAxis&-out=PA&-out=dMajAxis&-out=dMinAxis&-out=dPA&-out=Mosaic&-out=Nm&-out=Xpos&-out=Ypos&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8081
#Name: VIII/81B
#Title: Sydney University Molonglo Sky Survey (SUMSS V2.1) (Mauch+ 2008)
#INFO	ivoid=ivo://cds.vizier/viii/81b	    IVOID of underlying data collection
#INFO	creator=Mauch T.	    First author or institution
#INFO	cites=bibcode:2003MNRAS.342.1117M	    Article or Data origin sources
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/81B	    Dataset landing page
#INFO	publication_date=2013-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	VIII_81B_sumss212:
#Name: VIII/81B/sumss212
#Title: The SUMSS Catalog, Version 2.1r (Feb-16-2012)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F4.1)	The uncertainty in Right Ascension (1)	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(F4.1)	The uncertainty Declination	[ucd=stat.error;pos.eq.dec]
#Column	Sp	(F7.1)	Peak brightness at 843MHz (in mJy.beam-1)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sp	(F6.1)	Uncertainty on Sp	[ucd=stat.error;src.spType]
#Column	St	(F8.1)	Total flux density at 843MHz	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_St	(F6.1)	Uncertainty on St	[ucd=stat.error]
#Column	MajAxis	(F6.1)	Fitted major axis	[ucd=phys.angSize;meta.modelled]
#Column	MinAxis	(F5.1)	Fitted minor axis	[ucd=phys.angSize;meta.modelled]
#Column	PA	(F5.1)	Fitted major axis position angle (N to E)	[ucd=pos.posAng;meta.modelled]
#Column	dMajAxis	(F6.1)	Fitted major axis after deconvolution (2)	[ucd=phys.angSize;meta.modelled]
#Column	dMinAxis	(F5.1)	Fitted minor axis after deconvolution (2)	[ucd=phys.angSize;meta.modelled]
#Column	dPA	(F5.1)	? Fitted major axis position angle	[ucd=pos.posAng;meta.modelled]
#Column	Mosaic	(A8)	Mosaic in which the source appears ({\fg{blue3}the link gives an access to the {\bf FITS} image}) (3)	[ucd=obs.image]
#Column	Nm	(I1)	Number of mosaics with the source (4)	[ucd=meta.number]
#Column	Xpos	(F6.1)	Position of the source on quoted mosaic (4)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F6.1)	Position of the source on quoted mosaic (4)	[ucd=pos.cartesian.y;instr.det]
_Glon	_Glat	_RAJ2000	_DEJ2000	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	Sp	e_Sp	St	e_St	MajAxis	MinAxis	PA	dMajAxis	dMinAxis	dPA	Mosaic	Nm	Xpos	Ypos
354.2251216	-85.3605876	008.6812500	-29.9672778	00 34 43.50	 3.1	-29 58 02.20	 5.4	   11.6	   1.7	    11.7	   1.7	  85.0	 45.0	  0.2	   0.0	  0.0	     	J0036M32	1	 795.4	 726.4
354.3681485	-85.3823991	008.6935000	-29.9450000	00 34 46.44	 2.2	-29 56 42.00	 3.5	   19.6	   1.7	    19.6	   1.7	  85.0	 45.0	  0.2	   0.0	  0.0	     	J0036M32	1	 791.9	 730.3
352.3972284	-85.5897240	008.9922500	-29.9412778	00 35 58.14	 2.6	-29 56 28.60	 2.9	   26.0	   1.7	    26.0	   1.7	  84.9	 60.8	 37.6	   0.0	  0.0	     	J0036M32	1	 707.2	 731.0
342.9670480	-86.2678257	010.0893750	-29.9584722	00 40 21.45	 3.1	-29 57 30.50	 2.3	   23.5	   1.9	    23.5	   1.9	  84.9	 45.8	101.7	   0.0	  0.0	     	J0036M32	1	 396.1	 727.2
341.2115342	-86.4045163	010.2902083	-29.9271944	00 41 09.65	 5.9	-29 55 37.90	 5.3	   14.3	   1.9	    19.4	   2.5	  84.9	 66.9	118.6	   0.0	  0.0	     	J0036M32	1	 339.1	 732.2
333.0411298	-86.6983722	010.9482500	-29.9713889	00 43 47.58	 1.6	-29 58 17.00	 1.8	  147.0	   5.0	   158.1	   5.4	  84.9	 67.3	144.1	   0.0	  0.0	     	J0036M32	1	 152.8	 723.1
332.5528982	-86.7959950	011.0333333	-29.9016667	00 44 08.00	 4.1	-29 54 06.00	 5.5	   20.8	   2.6	    24.1	   3.0	  88.4	 58.6	161.2	   0.0	  0.0	     	J0036M32	1	 128.2	 735.0
332.1524803	-86.7999542	011.0579167	-29.9095278	00 44 13.90	 7.5	-29 54 34.30	 8.0	   13.7	   2.5	    15.2	   2.8	  84.9	 66.3	141.9	   0.0	  0.0	     	J0054M32	2	1397.6	 732.3
331.0031678	-86.8350457	011.1419167	-29.9103889	00 44 34.06	 2.1	-29 54 37.40	 2.1	   72.4	   3.3	   102.2	   4.6	  84.9	 67.2	111.4	   0.0	  0.0	     	J0036M32	2	  97.5	 733.1
330.5260477	-86.8698954	011.1877083	-29.8923611	00 44 45.05	 1.5	-29 53 32.50	 1.7	  287.4	   8.9	   287.4	   8.9	  84.9	 57.5	 18.0	   0.0	  0.0	     	J0054M32	1	1360.9	 735.7
327.1552628	-86.8875660	011.3860833	-29.9589167	00 45 32.66	 1.6	-29 57 32.10	 2.1	   75.3	   3.1	    93.4	   6.2	 104.2	 46.8	  6.5	  61.7	  0.0	 15.4	J0054M32	2	1304.2	 724.8
324.6255016	-86.9105895	011.5414583	-29.9926667	00 46 09.95	 6.8	-29 59 33.60	 7.4	   13.3	   2.4	    13.3	   2.4	  84.9	 61.1	 38.1	   0.0	  0.0	     	J0054M32	1	1260.0	 719.4
316.0140066	-87.0595020	012.0913333	-29.9903333	00 48 21.92	10.7	-29 59 25.20	 9.9	   10.7	   2.3	    18.5	   4.0	  85.0	 78.2	 88.9	   0.0	  0.0	     	J0054M32	1	1104.3	 721.1
306.4946583	-87.1591131	012.6557917	-29.9635000	00 50 37.39	 1.5	-29 57 48.60	 1.7	  350.9	  10.7	   350.9	  10.7	  84.9	 45.4	178.1	   0.0	  0.0	     	J0054M32	1	 944.3	 726.6
291.8427375	-87.1278746	013.4967500	-29.9453056	00 53 59.22	 6.3	-29 56 43.10	 6.9	   10.7	   1.8	    10.7	   1.8	  84.9	 61.3	143.2	   0.0	  0.0	     	J0054M32	1	 705.9	 730.3
286.5560155	-87.0107852	013.8321667	-29.9928333	00 55 19.72	 2.7	-29 59 34.20	 2.1	   30.1	   2.0	    30.1	   2.0	  85.0	 45.0	 88.2	   0.0	  0.0	     	J0054M32	1	 610.9	 722.0
280.5616072	-86.9219047	014.2112500	-29.9681944	00 56 50.70	 5.9	-29 58 05.50	 5.7	   14.2	   2.2	    14.5	   2.3	  84.9	 55.9	131.4	   0.0	  0.0	     	J0054M32	1	 503.4	 725.9
254.8994977	-85.7005537	016.5481667	-29.9548889	01 06 11.56	 1.6	-29 57 17.60	 2.0	   66.8	   2.7	    70.4	   2.8	  89.6	 45.1	179.6	   0.0	  0.0	     	J0112M32	1	1116.6	 727.1
252.9683672	-85.4710291	016.8619167	-29.9845833	01 07 26.86	 2.5	-29 59 04.50	 6.7	   13.0	   1.5	    23.1	   2.7	 150.6	 45.9	  4.3	   0.0	  0.0	     	J0112M32	1	1027.6	 722.6
250.3403967	-85.2190982	017.2421667	-29.9642222	01 08 58.12	 1.5	-29 57 51.20	 1.8	  108.4	   3.8	   116.1	   4.0	  90.8	 45.5	177.6	   0.0	  0.0	     	J0112M32	1	 919.9	 726.6
246.8774939	-84.8403246	017.7975417	-29.9226111	01 11 11.41	 2.5	-29 55 21.40	 2.5	   66.5	   3.3	   118.9	   5.8	  91.1	 81.6	123.6	   0.0	  0.0	     	J0112M32	1	 762.4	 734.2
245.6742985	-84.5262886	018.1746250	-29.9881667	01 12 41.91	 1.5	-29 59 17.40	 1.7	  645.5	  19.5	   698.6	  21.1	  84.9	 52.3	115.4	   0.0	  0.0	     	J0112M32	1	 655.5	 722.8
243.4037463	-84.1768867	018.6523750	-29.9617222	01 14 36.57	 3.3	-29 57 42.20	 2.3	   23.9	   2.0	    23.9	   2.0	  85.0	 45.0	 91.2	   0.0	  0.0	     	J0112M32	1	 520.0	 727.1
242.2296066	-83.9518565	018.9474167	-29.9558889	01 15 47.38	 4.4	-29 57 21.20	 4.5	   18.3	   2.2	    18.3	   2.2	  84.9	 56.3	 44.4	   0.0	  0.0	     	J0112M32	1	 436.4	 727.8
240.8886163	-83.5653379	019.4225000	-29.9914167	01 17 41.40	 1.5	-29 59 29.10	 1.7	  400.9	  12.3	   421.2	  12.9	  84.9	 60.6	159.5	   0.0	  0.0	     	J0112M32	1	 301.8	 720.9
238.5214436	-82.9599384	020.1911667	-29.9775000	01 20 45.88	 2.0	-29 58 39.00	 3.1	   33.3	   2.5	    34.6	   2.6	  88.2	 45.1	177.7	   0.0	  0.0	     	J0112M32	2	  84.0	 721.4
237.3167238	-82.7105880	020.5223750	-29.9285833	01 22 05.37	 7.0	-29 55 42.90	 5.5	   10.9	   2.1	    10.9	   2.1	  84.9	 49.7	 61.0	   0.0	  0.0	     	J0130M32	1	1265.8	 730.4
237.0536104	-82.4413658	020.8271667	-29.9910833	01 23 18.52	 3.0	-29 59 27.90	 2.9	   22.3	   1.8	    22.3	   1.8	  84.9	 53.4	 51.5	   0.0	  0.0	     	J0130M32	1	1179.1	 720.4
235.9130685	-82.1643150	021.1876250	-29.9403889	01 24 45.03	 1.8	-29 56 25.40	 2.0	   73.7	   3.0	    73.7	   3.0	  84.9	 56.1	135.3	   0.0	  0.0	     	J0130M32	1	1077.2	 729.9
235.1285999	-81.6739743	021.7647917	-29.9910833	01 27 03.55	15.5	-29 59 27.90	 6.9	   11.3	   1.8	    49.5	   7.7	 197.9	 84.9	 93.8	   0.0	  0.0	     	J0130M32	1	 913.4	 722.0
234.4718099	-81.5622553	021.9210833	-29.9335278	01 27 41.06	 2.6	-29 56 00.70	 2.8	   43.5	   2.6	    51.9	   3.1	  84.9	 69.8	139.1	   0.0	  0.0	     	J0130M32	1	 869.2	 732.1
234.3066179	-81.3853205	022.1245833	-29.9620556	01 28 29.90	 5.0	-29 57 43.40	 6.6	   15.3	   2.3	    16.5	   2.5	  84.9	 59.5	 18.9	   0.0	  0.0	     	J0130M32	1	 811.4	 727.3
234.1433538	-81.3086489	022.2175000	-29.9607500	01 28 52.20	 2.8	-29 57 38.70	 5.5	   18.7	   2.2	    24.2	   2.9	 108.2	 47.5	  6.7	   0.0	  0.0	     	J0130M32	1	 785.1	 727.5
233.5002058	-80.8655463	022.7407500	-29.9893333	01 30 57.78	 7.2	-29 59 21.60	 5.5	   12.9	   2.5	    12.9	   2.5	  84.9	 49.0	117.5	   0.0	  0.0	     	J0130M32	1	 636.8	 722.6
233.3247169	-80.7765486	022.8484167	-29.9865000	01 31 23.62	 2.5	-29 59 11.40	 2.4	   57.5	   3.3	    66.0	   3.8	  84.9	 57.9	 57.6	   0.0	  0.0	     	J0130M32	1	 606.2	 723.0
233.2776636	-80.7019387	022.9337500	-29.9992222	01 31 44.10	 2.1	-29 59 57.20	 3.7	   33.9	   2.8	    41.7	   3.4	 104.6	 45.1	  0.9	   0.0	  0.0	     	J0130M32	1	 582.1	 720.8
231.8774590	-80.0712764	023.7062500	-29.9323056	01 34 49.50	 1.9	-29 55 56.30	 3.1	   33.1	   2.3	    38.2	   2.7	  97.9	 45.6	  2.4	   0.0	  0.0	     	J0130M32	1	 362.9	 731.5
231.3859659	-79.5868751	024.2732917	-29.9598611	01 37 05.59	 1.6	-29 57 35.50	 2.0	   81.0	   3.1	    92.1	   3.5	  95.6	 46.8	  4.5	   0.0	  0.0	     	J0130M32	1	 202.3	 725.6
230.7157447	-79.3509563	024.5697500	-29.8916944	01 38 16.74	 2.2	-29 53 30.10	 7.1	   17.0	   1.6	    42.1	   6.5	 208.9	 46.4	  5.9	 191.1	  0.0	  6.7	J0148M32	1	1394.3	 735.5
230.7695902	-79.2625578	024.6670000	-29.9201111	01 38 40.08	 1.5	-29 55 12.40	 1.8	  125.0	   4.1	   164.3	   7.3	 111.1	 45.8	  2.6	  71.8	  0.0	  5.2	J0130M32	2	  90.5	 731.4
231.1195411	-79.2306347	024.6868750	-29.9907222	01 38 44.85	 1.8	-29 59 26.60	 2.4	   52.7	   2.6	    59.9	   2.9	  90.6	 53.8	165.6	   0.0	  0.0	     	J0130M32	2	  85.3	 719.1
230.7128253	-79.1952475	024.7455000	-29.9238889	01 38 58.92	 2.5	-29 55 26.00	 4.4	   18.0	   1.9	    20.1	   2.1	  94.6	 45.8	  2.3	   0.0	  0.0	     	J0130M32	2	  68.2	 730.5
230.6406120	-79.1720689	024.7749167	-29.9154722	01 39 05.98	 4.4	-29 54 55.70	 5.0	   21.5	   2.2	    29.8	   3.1	  88.0	 72.7	 24.0	   0.0	  0.0	     	J0130M32	2	  59.9	 731.8
230.4700607	-78.9162714	025.0714583	-29.9362500	01 40 17.15	 2.4	-29 56 10.50	 4.4	   23.8	   2.3	    30.0	   2.9	 105.3	 47.6	  7.6	   0.0	  0.0	     	J0148M32	1	1251.9	 729.3
229.3332662	-77.6470242	026.5601250	-29.9463333	01 46 14.43	 4.5	-29 56 46.80	 3.2	   16.4	   1.9	    16.4	   1.9	  84.9	 46.8	109.0	   0.0	  0.0	     	J0148M32	1	 829.7	 730.0
229.2173962	-77.6172946	026.5987917	-29.9269167	01 46 23.71	 5.7	-29 55 36.90	 4.2	   13.0	   2.0	    13.0	   2.0	  84.9	 48.0	114.4	   0.0	  0.0	     	J0148M32	1	 818.8	 733.3
227.6706117	-74.7588968	029.9245417	-29.9648333	01 59 41.89	14.0	-29 57 53.40	14.1	   11.2	   3.3	    18.1	   5.3	  92.2	 77.2	 43.9	   0.0	  0.0	     	J0206M32	1	1151.6	 725.2
227.3808893	-74.4968397	030.2348750	-29.9173333	02 00 56.37	 5.7	-29 55 02.40	 5.5	   18.2	   2.8	    18.2	   2.8	  84.9	 54.5	132.3	   0.0	  0.0	     	J0206M32	1	1063.8	 734.0
227.5939055	-74.4214424	030.3142917	-29.9821944	02 01 15.43	 2.9	-29 58 55.90	 5.1	   19.0	   2.5	    19.0	   2.5	  85.0	 45.0	  0.6	   0.0	  0.0	     	J0206M32	1	1041.1	 722.9
227.5413362	-74.4077727	030.3317500	-29.9696389	02 01 19.62	 6.6	-29 58 10.70	 6.7	   14.6	   2.6	    14.6	   2.6	  84.9	 56.6	 45.0	   0.0	  0.0	     	J0206M32	1	1036.2	 725.1
227.6256495	-74.3752681	030.3662083	-29.9957222	02 01 27.89	 1.5	-29 59 44.60	 1.7	  304.5	   9.4	   319.1	   9.9	  84.9	 48.1	 77.1	   0.0	  0.0	     	J0206M32	1	1026.3	 720.6
227.3795622	-73.8945619	030.9262917	-29.9791667	02 03 42.31	 3.1	-29 58 45.00	 6.7	   11.5	   1.7	    15.7	   2.3	 111.3	 47.1	177.6	   0.0	  0.0	     	J0206M32	1	 867.6	 724.2
227.1208478	-73.6482418	031.2173333	-29.9310556	02 04 52.16	 2.0	-29 55 51.80	 3.0	   21.9	   1.5	    22.9	   1.6	  88.5	 45.3	177.9	   0.0	  0.0	     	J0206M32	1	 785.2	 732.7
226.9595289	-73.1298811	031.8178333	-29.9315000	02 07 16.28	 5.1	-29 55 53.40	 7.7	   10.1	   1.3	    19.9	   2.5	 137.9	 65.7	154.7	   0.0	  0.0	     	J0206M32	1	 614.9	 732.6
226.7817221	-72.5959105	032.4368333	-29.9227222	02 09 44.84	 1.5	-29 55 21.80	 1.8	  129.5	   4.1	   140.0	   4.5	  91.8	 45.0	  0.2	   0.0	  0.0	     	J0206M32	1	 439.3	 733.6
226.5898131	-71.8939384	033.2495000	-29.9149444	02 12 59.88	 1.8	-29 54 53.80	 2.6	   33.4	   1.9	    36.0	   2.1	  91.4	 45.0	178.8	   0.0	  0.0	     	J0206M32	1	 208.8	 733.4
226.4545840	-71.3691055	033.8568750	-29.9055833	02 15 25.65	 1.7	-29 54 20.10	 1.8	  149.9	   5.4	   162.8	   5.8	  84.9	 49.0	 93.1	   0.0	  0.0	     	J0206M32	2	  36.6	 733.3
