#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-10T06:17:11 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-10T06:17:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-out.add=_Glon,_Glat&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/402/2403/at20gcat&-order=I&-out=AT20G&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;-30 & &lt;0&-out=S20&-out=e_S20&-out=S8&-out=e_S8&-out=S5&-out=e_S5&-out=Ep&-out.all=2&-out=Q&-out=Flags&-out=l_P20&-out=P20&-out=e_P20&-out=l_m20&-out=m20&-out=PA20&-out=l_P8&-out=P8&-out=e_P8&-out=l_m8&-out=m8&-out=PA8&-out=l_P5&-out=P5&-out=e_P5&-out=l_m5&-out=m5&-out=PA5&-out=Sp&Sp=Sp&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74022403
#Name: J/MNRAS/402/2403
#Title: Australia Telescope 20GHz Survey Catalog, AT20G (Murphy+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/mnras/402/2403	    IVOID of underlying data collection
#INFO	creator=Murphy T.	    First author or institution
#INFO	cites=bibcode:2010MNRAS.402.2403M	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/402/2403	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74022403	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_MNRAS_402_2403_at20gcat:
#Name: J/MNRAS/402/2403/at20gcat
#Title: The AT20G catalogue, version 1.0 (2009-10-15)
#Column	_Glon	(F11.7)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F11.7)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	AT20G	(A14)	IAU designation (JHHMMSS+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right Ascension J2000 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	S20	(I5)	? Peak brightness at 20GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_S20	(I3)	? Uncertainty on S20	[ucd=stat.error]
#Column	S8	(I4)	? Peak brightness at 8GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_S8	(I3)	? Uncertainty on S8	[ucd=stat.error]
#Column	S5	(I5)	? Peak brightness at 5GHz (in mJy/beam) (3)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_S5	(I3)	? Uncertainty on S5	[ucd=stat.error]
#Column	Ep	(A3)	[1-8.] Epochs of observation at 20, 8, 5GHz (4)	[ucd=meta.id]
#Column	Q	(A1)	[gp] Quality flag (g=good or p=poor)	[ucd=meta.code.qual]
#Column	Flags	(A3)	Other flags (5)	[ucd=meta.code.error]
#Column	l_P20	(A1)	Limit flag on P20	[ucd=meta.code.error]
#Column	P20	(I4)	? Polarized flux density (or limit) at 20GHz	[ucd=phot.flux.density;em.radio.12-30GHz]
#Column	e_P20	(I2)	? Uncertainty on P20	[ucd=stat.error]
#Column	l_m20	(A1)	Limit flag on m20	[ucd=meta.code.error]
#Column	m20	(F4.1)	? Fractional polarisation at 20GHz	[ucd=phys.polarization]
#Column	PA20	(I3)	[-90/90]? Position angle at 20GHz	[ucd=pos.posAng]
#Column	l_P8	(A1)	Limit flag on P8	[ucd=meta.code.error]
#Column	P8	(I3)	? Polarized flux density (or limit) at 8GHz	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	e_P8	(I2)	? Uncertainty on P8	[ucd=stat.error]
#Column	l_m8	(A1)	Limit flag on m8	[ucd=meta.code.error]
#Column	m8	(F5.1)	? Fractional polarisation at 8GHz	[ucd=phys.polarization]
#Column	PA8	(I3)	[-90/90]? Position angle at 8GHz	[ucd=pos.posAng]
#Column	l_P5	(A1)	Limit flag on P5	[ucd=meta.code.error]
#Column	P5	(I4)	? Polarized flux density (or limit) at 5GHz	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	e_P5	(I1)	? Uncertainty on P5	[ucd=stat.error]
#Column	l_m5	(A1)	Limit flag on m5	[ucd=meta.code.error]
#Column	m5	(F5.1)	? Fractional polarisation at 5GHz	[ucd=phys.polarization]
#Column	PA5	(I3)	[-90/90]? Position angle at 5GHz	[ucd=pos.posAng]
#Column	Sp	(A2)	SPECFIND of radio surveys with this source (Vollmer et al., Cat. VIII/85)	[ucd=meta.ref.url]
_Glon	_Glat	_RAJ2000	_DEJ2000	AT20G	RAJ2000	DEJ2000	S20	e_S20	S8	e_S8	S5	e_S5	Ep	Q	Flags	l_P20	P20	e_P20	l_m20	m20	PA20	l_P8	P8	e_P8	l_m8	m8	PA8	l_P5	P5	e_P5	l_m5	m5	PA5	Sp
097.4656853	-65.3659652	002.5017083	 -4.5633889	J001000-043348	00 10 00.41	-04 33 48.2	  275	 11	    	   	     	   	6..	g	   	<	   8	  	<	 2.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
014.1871565	-80.6828852	002.6881667	-29.7536111	J001045-294513	00 10 45.16	-29 45 13.0	  118	  7	 335	 18	  503	 25	444	g	   	<	   6	  	<	 5.1	   	<	  6	  	<	  1.8	   	<	   7	 	<	  1.4	   	Sp
060.0623052	-79.4319680	002.7237083	-21.9511111	J001053-215704	00 10 53.69	-21 57 04.0	  367	 23	    	   	     	   	4..	g	   	 	  16	 2	 	 4.4	-57	 	   	  	 	     	   	 	    	 	 	     	   	Sp
026.9227572	-80.9926076	002.7303750	-27.7068333	J001055-274224	00 10 55.29	-27 42 24.6	   84	  6	  88	  5	   54	  3	444	g	   	<	   6	  	<	 7.1	   	<	  6	  	<	  7.2	   	<	   6	 	<	 11.0	   	Sp
036.4564890	-80.9265961	002.7552917	-26.2091944	J001101-261233	00 11 01.27	-26 12 33.1	  642	 42	 822	 43	  694	 35	444	g	   	 	   8	 1	 	 1.2	-36	 	 10	 3	 	  1.2	-39	<	   7	 	<	  1.0	   	Sp
084.5366782	-74.3940483	002.9185000	-14.5678333	J001140-143404	00 11 40.44	-14 34 04.2	  154	  7	    	   	     	   	6..	g	   	<	   6	  	<	 3.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
084.3514152	-75.1680672	003.3363333	-15.2299722	J001320-151347	00 13 20.72	-15 13 47.9	  189	 21	    	   	     	   	6..	g	   	<	   7	  	<	 4.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
099.7871246	-65.5687174	003.4755833	 -4.3977778	J001354-042352	00 13 54.14	-04 23 52.0	  550	 25	    	   	     	   	6..	g	   	 	  29	 2	 	 5.3	-43	 	   	  	 	     	   	 	    	 	 	     	   	Sp
071.1291670	-78.9606993	003.6438750	-20.0088611	J001434-200031	00 14 34.53	-20 00 31.9	  118	  8	    	   	     	   	4..	g	   	<	   7	  	<	 5.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
077.7959296	-77.7642014	003.7605417	-18.2140556	J001502-181250	00 15 02.53	-18 12 50.6	  355	 23	    	   	     	   	4..	g	   	 	   7	 2	 	 2.1	-54	 	   	  	 	     	   	 	    	 	 	     	   	Sp
078.5248335	-77.7795210	003.8932917	-18.1237222	J001534-180725	00 15 34.39	-18 07 25.4	   98	  6	    	   	     	   	4..	g	   	<	   8	  	<	 8.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
074.2921250	-78.8476463	004.0008333	-19.4889167	J001600-192920	00 16 00.20	-19 29 20.1	   42	  3	  68	  6	  199	 10	444	g	   	<	   7	  	<	17.1	   	<	  9	  	<	 13.6	   	 	   8	2	 	  4.2	-32	Sp
054.0486552	-81.3308506	004.0242083	-23.7311389	J001605-234352	00 16 05.81	-23 43 52.1	   68	  4	    	   	     	   	4..	g	   	<	   6	  	<	 8.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
103.9986459	-61.8222152	004.0460417	 -0.2532778	J001611-001511	00 16 11.05	-00 15 11.8	  265	 13	    	   	     	   	6..	g	   	<	   7	  	<	 2.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
088.2420803	-74.9571172	004.0832500	-14.5028611	J001619-143010	00 16 19.98	-14 30 10.3	  109	  6	    	   	     	   	6..	g	   	<	   6	  	<	 5.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
088.9660877	-74.6890266	004.1072500	-14.1753611	J001625-141031	00 16 25.74	-14 10 31.3	   89	  5	    	   	     	   	6..	g	   	<	   7	  	<	 7.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
091.7486334	-73.6982414	004.2832500	-12.9399722	J001707-125623	00 17 07.98	-12 56 23.9	   75	  4	    	   	     	   	6..	g	   	 	  10	 3	 	13.0	 20	 	   	  	 	     	   	 	    	 	 	     	   	Sp
099.5148743	-68.1417404	004.2890000	 -6.8425000	J001709-065033	00 17 09.36	-06 50 33.0	   88	  5	    	   	     	   	6..	g	   	<	   8	  	<	 8.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
101.2397028	-66.6474072	004.3993333	 -5.2115278	J001735-051241	00 17 35.84	-05 12 41.5	  186	  9	    	   	     	   	6..	g	   	<	   7	  	<	 3.5	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
103.3668138	-64.1945459	004.4684167	 -2.6052500	J001752-023618	00 17 52.42	-02 36 18.9	   73	  4	    	   	     	   	6..	g	   	<	   7	  	<	 9.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
025.7923210	-82.5497382	004.4958333	-27.8058611	J001759-274821	00 17 59.00	-27 48 21.1	  275	 18	 447	 23	  298	 15	444	g	   	<	   6	  	<	 2.2	   	<	 10	  	<	  2.1	   	<	   6	 	<	  2.0	   	Sp
100.7342374	-67.9199766	004.6421250	 -6.4761111	J001834-062834	00 18 34.11	-06 28 34.0	   62	  3	    	   	     	   	6..	g	   	<	   9	  	<	14.6	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
093.4559036	-73.6869470	004.7142083	-12.7090000	J001851-124232	00 18 51.41	-12 42 32.4	  141	  7	    	   	     	   	6..	g	   	 	   8	 2	 	 5.4	 83	 	   	  	 	     	   	 	    	 	 	     	   	Sp
105.1123820	-62.8203436	004.8227083	 -1.0661111	J001917-010358	00 19 17.45	-01 03 58.0	   74	  4	    	   	     	   	6..	g	   	<	   6	  	<	 8.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
065.8632884	-81.1461604	004.8452500	-22.0912222	J001922-220528	00 19 22.86	-22 05 28.4	   99	  6	    	   	     	   	4..	g	   	<	   7	  	<	 7.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
009.6760984	-82.4471067	004.8533750	-29.8820556	J001924-295255	00 19 24.81	-29 52 55.4	   61	  4	  99	  6	  103	  5	444	g	   	<	   7	  	<	12.2	   	<	  8	  	<	  7.9	   	<	   6	 	<	  5.8	   	Sp
083.8948479	-77.9805727	004.9515417	-17.5796389	J001948-173446	00 19 48.37	-17 34 46.7	  170	 11	 164	  9	   92	  5	444	g	   	 	   8	 2	 	 4.7	-24	<	 10	  	<	  6.2	   	<	   6	 	<	  6.5	   	Sp
067.6040563	-81.3769613	005.2159167	-22.0193056	J002051-220109	00 20 51.82	-22 01 09.5	   56	  4	    	   	     	   	4..	g	   	<	   6	  	<	10.7	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
049.6445473	-82.7935901	005.2507917	-24.8520278	J002100-245107	00 21 00.19	-24 51 07.3	   43	  3	  68	  3	   49	  4	444	p	e  	<	   6	  	<	14.0	   	<	  6	  	<	  9.6	   	<	   9	 	<	 17.7	   	Sp
049.5631635	-83.3078696	005.7804167	-25.0363333	J002307-250210	00 23 07.30	-25 02 10.8	   75	  7	    	   	     	   	6..	g	e  	<	   7	  	<	11.0	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
094.2813259	-75.6639855	005.8195417	-14.3827500	J002316-142257	00 23 16.69	-14 22 57.9	   61	  3	    	   	     	   	6..	g	   	<	   6	  	<	 9.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
102.6665384	-69.5049275	005.8294167	 -7.7471389	J002319-074449	00 23 19.06	-07 44 49.7	   46	  3	    	   	     	   	6..	g	   	<	   6	  	<	13.1	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
093.6934816	-76.0402505	005.8596250	-14.7836389	J002326-144701	00 23 26.31	-14 47 01.1	   83	  4	    	   	     	   	6..	g	   	<	   6	  	<	 7.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
106.3849920	-64.8590576	005.9010000	 -2.8853056	J002336-025307	00 23 36.24	-02 53 07.1	   59	  3	    	   	     	   	6..	g	   	<	   6	  	<	10.2	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
102.7442569	-69.9754945	006.0028750	 -8.1860556	J002400-081109	00 24 00.69	-08 11 09.8	  265	 13	    	   	     	   	6..	g	   	<	   6	  	<	 2.3	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
100.2596125	-72.3695301	006.0356667	-10.7100833	J002408-104236	00 24 08.56	-10 42 36.3	   43	  3	    	   	     	   	6..	g	   	<	   6	  	<	13.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
009.7083873	-83.6223598	006.1252083	-29.4816389	J002430-292853	00 24 30.05	-29 28 53.9	  126	  8	    	   	     	   	4..	p	e  	<	   6	  	<	 4.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
106.2525308	-66.2047054	006.1915833	 -4.2004722	J002445-041201	00 24 45.98	-04 12 01.7	  137	  7	    	   	     	   	6..	g	   	<	   6	  	<	 4.4	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
101.8313833	-71.4680504	006.1935417	 -9.6970000	J002446-094149	00 24 46.45	-09 41 49.2	   44	  2	    	   	     	   	6..	g	   	<	   6	  	<	13.8	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
102.1692350	-71.5080094	006.3096250	 -9.7002222	J002514-094200	00 25 14.31	-09 42 00.8	   61	  3	    	   	     	   	6..	g	   	<	   6	  	<	 9.9	   	 	   	  	 	     	   	 	    	 	 	     	   	Sp
